SIRA NO;SINIF;DERS ADI;ÜNİTE/TEMA/ ÖĞRENME ALANI;KAZANIM/ÖĞRENME ÇIKTISI/BÖLÜM;E-İÇERİK TÜRÜ;AÇIKLAMA;AI Senaryosu;EBA_URL
1;8;Din Kültürü ve Ahlak Bilgisi 8;1. KADER İNANCI;DKAB.8.1.1. Allah’ın (cc) her şeyi bir ölçü ve düzene göre yarattığını kader ve kaza inancı bağlamında özetleyebilme;Etkileşimli İçerik;Allah’ın (cc) her şeyi bir ölçü ve düzenle yarattığını anlatan bir video ve video içerisinde öğrencileri düşünemeye sevk edecek sorulardan oluşan içerik hazırlanır.;;
2;8;Din Kültürü ve Ahlak Bilgisi 8;1. KADER İNANCI;DKAB.8.1.2. Kaderle ilgili kavramları açıklayabilme;Video/Etkileşimli İçerik;"Kaderle ilgili temel kavramları açıklayıcı görseller ve bu kavramlarla ilgili eşleştirme etkinliği hazırlanır.
Öğrencilerin bu kavramları öğrenebileceği, etkileşimli bilgi kartları ve kavram haritaları hazırlanır.";;
3;8;Din Kültürü ve Ahlak Bilgisi 8;1. KADER İNANCI;DKAB.8.1.3. Kader inancının insan davranışına etkisi hakkında düşünebilme;Video/Etkileşimli İçerik;Kader inancının insanın sorumluluk bilinci, tevekkül, umut ve azim gibi davranışlarına nasıl yansıdığını anlatan içerik hazırlanır.;;
4;8;Din Kültürü ve Ahlak Bilgisi 8;1. KADER İNANCI;DKAB.8.1.4. Tebbet suresini ve bu surenin anlamını okuyarak yorumlayabilme;Video/Etkileşimli İçerik;Tebbet suresinin anlamını ve okunuşunu öğreten, öğrencilerin doğru telaffuz yapmasını sağlayan, sureyi ezberleme için kısa cevaplı sorular içeren içerik hazırlanır.;;
5;8;Din Kültürü ve Ahlak Bilgisi 8;2. ZEKÂT VE SADAKA;DKAB.8.2.1. Zekât ibadetini gözlemleyebilme;Etkileşimli İçerik;Zekât ibadetinin sosyal yardımlaşmadaki yerini gösteren infografik ve zekât hesaplama simülasyonu hazırlanır.;;
6;8;Din Kültürü ve Ahlak Bilgisi 8;2. ZEKÂT VE SADAKA;DKAB.8.2.2. Sadaka kapsamında değerlendirilen davranışları kendi hayatına yansıtabilme;Video/Etkileşimli İçerik;Sadakanın önemini, çeşitlerini ve günlük hayatta sadaka olarak değerlendirilebilecek davranışları anlatan içerik hazırlanır.;;
7;8;Din Kültürü ve Ahlak Bilgisi 8;2. ZEKÂT VE SADAKA;DKAB.8.2.3. Zekât ve sadaka ibadetinin kültürümüze yansımalarını gözleme dayalı tahmin edebilme;Video/Etkileşimli İçerik;"Din ve sosyal hayatın birbirini nasıl etkilediğini gösteren etkileşimli zaman çizelgesi ve sıralama etkinliği hazırlanır.
Öğrencilerin zekât ve sadaka ile ilgili gelenek ve görenekleri öğrenebileceği, etkileşimli bir kültür haritası hazırlanır.";;
8;8;Din Kültürü ve Ahlak Bilgisi 8;2. ZEKÂT VE SADAKA;DKAB.8.2.4. Maun suresini ve bu surenin anlamını okuyarak yorumlayabilme;Video/Etkileşimli İçerik;Maun suresinin anlamını ve okunuşunu öğreten, öğrencilerin doğru telaffuz yapmasını sağlayan, sureyi ezberleme için kısa cevaplı sorular içeren içerik hazırlanır.;;
9;8;Din Kültürü ve Ahlak Bilgisi 8;3. DİN VE SOSYAL HAYAT;DKAB.8.3.1. Dinin temel gayesi konusunu sentezleyebilme;Video/Etkileşimli İçerik;İslam'ın koruma altına aldığı temel hakların özellikleri ile ilgili bir video veya etkileşimli bir hazırlanır.;;
10;8;Din Kültürü ve Ahlak Bilgisi 8;3. DİN VE SOSYAL HAYAT;DKAB.8.3.2. Dinin sosyal hayattaki işlevini yapılandırabilme;Etkileşimli İçerik;Müslüman bilim insanlarının başarılarını konu alan bir zaman çizelgesi ve bu başarıların etkilerini simüle eden etkinlikler hazırlanır.;;
11;8;Din Kültürü ve Ahlak Bilgisi 8;3. DİN VE SOSYAL HAYAT;DKAB.8.3.3. Asr suresini ve bu surenin anlamını okuyarak yorumlayabilme;Video/Etkileşimli İçerik;"Asr süresinin anlamını ve okunuşunu öğreten, öğrencilerin doğru telaffuz yapmasını sağlayan, sureyi ezberleme için kısa cevaplı sorular içeren içerik hazırlanır.
Öğrencilerin sureyi ezberlemelerine ve anlamlarını pekiştirmelerine yardımcı olacak etkileşimli oyunlar ve alıştırmalar hazırlanır.";;
12;8;Din Kültürü ve Ahlak Bilgisi 8;4. KUR’AN VE İNSAN;DKAB.8.4.1. İnsanın Kur’an-ı Kerim’de anlatılan özelliklerini sentezleyebilme;Video/Etkileşimli İçerik;Din ve sosyal hayatta karşılaşılan kavramlarla ilgili bulmaca etkinlikleri ve kısa videolar hazırlanır.;;
13;8;Din Kültürü ve Ahlak Bilgisi 8;4. KUR’AN VE İNSAN;DKAB.8.4.2. Kur’an-ı Kerim’in rehberliğini özetleyebilme;Video/Etkileşimli İçerik;"Kur’an’ın insan ahlaki gelişimine katkısını tartışma etkinlikleriyle destekleyen videolar hazırlanır.
Kur'an-ı Kerim'in insan hayatına rehberlik eden yönlerini anlatan bir video hazırlanır.
Öğrencilerin Kur'an-ı Kerim'in farklı konulardaki rehberliğini keşfedebileceği, etkileşimli bir konu haritası hazırlanır.";;
14;8;Din Kültürü ve Ahlak Bilgisi 8;4. KUR’AN VE İNSAN;DKAB.8.4.3. Kur’an-ı Kerim’e göre Hz. Muhammed’in (sav) örnekliğini çözümleyebilme;Video/Etkileşimli İçerik;"Hz. Muhammed'in (sav) Kur'an-ı Kerim'de anlatılan örnek davranışlarını (ahlakı, ibadetleri, sosyal ilişkileri, vb.) anlatan bir video hazırlanır.
Öğrencilerin Hz. Muhammed'in (sav) örnekliğini farklı yönleriyle inceleyebileceği, etkileşimli bir karakter analizi uygulaması hazırlanır.";;
15;8;Din Kültürü ve Ahlak Bilgisi 8;4. KUR’AN VE İNSAN;DKAB.8.4.4. Hz. Lokman’ın öğütlerini kendi hayatına yansıtabilme;Video/Etkileşimli İçerik;"Hz. Lokman'ın oğluna verdiği öğütleri anlatan bir video hazırlanır.
Öğrencilerin bu öğütleri kendi hayatlarına nasıl uygulayabileceklerini düşünebileceği, etkileşimli bir günlük uygulaması hazırlanır.";;
16;8;Din Kültürü ve Ahlak Bilgisi 8;4. KUR’AN VE İNSAN;DKAB.8.4.5. Ayetelkürsi’yi ve bu ayetin anlamını okuyarak yorumlayabilme;Video/Etkileşimli İçerik;Ayetel kürsinin anlamını ve okunuşunu öğreten, öğrencilerin doğru telaffuz yapmasını sağlayan, sureyi ezberleme için kısa cevaplı sorular içeren içerik hazırlanır.;;
17;8;Din Kültürü ve Ahlak Bilgisi 8;5. MÜSLÜMANLARIN BİLİM VE KÜLTÜRE KATKISI;DKAB.8.5.1. İslam kültür ve medeniyetinin esasları konusunu sentezleyebilme;Etkileşimli İçerik;Müslüman bilim insanlarının çalışmalarıyla ilgili etkileşimli oyunlar ve artırılmış gerçeklik etkinlikleri hazırlanır.;;
18;8;Din Kültürü ve Ahlak Bilgisi 8;5. MÜSLÜMANLARIN BİLİM VE KÜLTÜRE KATKISI;DKAB.8.5.2. İslam’ın bilime verdiği önemi ve katkıyı sorgulayabilme;Video/Etkileşimli İçerik;"İslam'ın bilime verdiği önemi ve yaptığı katkıları anlatan, bilim insanlarının çalışmalarına örnekler veren bir video hazırlanır.
Öğrencilerin İslam'ın bilimsel gelişmelere etkisini sorgulayabileceği, etkileşimli içerik hazırlanır.";;
19;8;Din Kültürü ve Ahlak Bilgisi 8;5. MÜSLÜMANLARIN BİLİM VE KÜLTÜRE KATKISI;DKAB.8.5.3. Müslüman bilim insanlarının bilim ve kültüre katkısını tarihsel bağlamda değerlendirebilme;Video/Etkileşimli İçerik;"Müslüman bilim insanlarının (İbn-i Sina, Farabi, El-Cezeri, vb.) bilim ve kültüre katkılarını anlatan bir video hazırlanır.
Öğrencilerin bu bilim insanlarının çalışmalarını tarihsel bağlamda inceleyebileceği, etkileşimli bir zaman çizelgesi hazırlanır.";;
1;9;Din Kültürü ve Ahlak Bilgisi 9;1. ALLAH-İNSAN İLİŞKİSİ;DKAB.9.1.2. İnsanın doğruyu arayan bir varlık olarak bilgiye ulaşma yolları hakkında eleştirel düşünebilme;Video/Etkileşimli İçerik;İnsanın vahiy ve peygambere olan ihtiyacını vurgulayan, konuyla ilgili örnek ayetler içeren video veya etkileşimli içerik hazırlanır.;;
2;9;Din Kültürü ve Ahlak Bilgisi 9;1. ALLAH-İNSAN İLİŞKİSİ;DKAB.9.1.3. Allah (cc) ile iletişimin ibadet ve dua ile sağlandığını yansıtabilme;Video/Etkileşimli İçerik;Dua ve ibadetlerin insan hayatına nasıl pozitif etkilerde bulunduğunu, zorluklarla mücadelede nasıl güç ve moral verdiğini anlatan bir video, etkileşimli içerik hazırlanır.;;
3;9;Din Kültürü ve Ahlak Bilgisi 9;1. ALLAH-İNSAN İLİŞKİSİ;DKAB.9.1.4. Rum suresi 17-27. ayetlerin mesajlarını özetleyebilme;Video/Etkileşimli İçerik;Rum suresinin 17-27. ayetleri ve bu ayetlerin meallerini içeren video veya etkileşimli içerik hazırlanır.;;
4;9;Din Kültürü ve Ahlak Bilgisi 9;2. İSLAM’DA İNANÇ ESASLARI;Köprü Kurma;Video;Geçmişteki her toplumun yüce bir varlık inancına sahip olmasıyla ilgili video hazırlanır.;;
5;9;Din Kültürü ve Ahlak Bilgisi 9;2. İSLAM’DA İNANÇ ESASLARI;DKAB.9.2.1. İman ve imanın mahiyetiyle ilgili konuları sorgulayabilme;Video/Etkileşimli İçerik;İmanın mahiyetini ve insanın inanma duygusunu tarihsel ve kültürel bağlamda ele alan video veya etkileşimli içerik hazırlanır.;;
6;9;Din Kültürü ve Ahlak Bilgisi 9;2. İSLAM’DA İNANÇ ESASLARI;DKAB.9.2.2. İslam’ın iman esaslarını ayet ve hadisler bağlamında özetleyebilme;Etkileşimli İçerik;"Her bir imanın esasını ayrı ayrı ele alan ve her iman esasıyla ilgili ayet ve hadisler içeren etkileşimli bilgi kartları hazırlanır.
İmanın esasları ile ilgili ayet ve hadislerin sınıflandırılmasına imkân sağlayan etkileşimli yapılandırılmış grid hazırlanır.";;
7;9;Din Kültürü ve Ahlak Bilgisi 9;2. İSLAM’DA İNANÇ ESASLARI;DKAB.9.2.3. İmanın bireye ve topluma kazandırdıklarını yansıtabilme;Video/Etkileşimli İçerik;"Farklı karakterlerin hayat hikâyelerine yer verilerek imanın bireysel ve toplumsal faydalarını anlatan video hazırlanır.
İmanın bireysel ve toplumsal faydaları ile ilgili etkileşimli içerik hazırlanır.";;
8;9;Din Kültürü ve Ahlak Bilgisi 9;2. İSLAM’DA İNANÇ ESASLARI;DKAB.9.2.4. Bakara suresinin 177. ayetindeki mesajları özetleyebilme;Video/Etkileşimli İçerik;Bakara suresi 177. ayeti ve bu ayetin mealini içeren video veya etkileşimli içerik hazırlanır.;;
9;9;Din Kültürü ve Ahlak Bilgisi 9;3. İSLAM’DA İBADETLER;DKAB.9.3.1. İslam’da ibadet ve ibadetin temel ilkeleri hakkında bilgi toplayabilme;Etkileşimli İçerik;İslam’da ibadet ve ibadetin temel ilkeleri hakkında bilgilerin yer aldığı temel kaynaklardan etkileşimli bilgi kartları hazırlanır.;;
10;9;Din Kültürü ve Ahlak Bilgisi 9;3. İSLAM’DA İBADETLER;DKAB.9.3.2. İslam’da temel ibadetleri sınıflandırabilme;Video/Etkileşimli İçerik;"Abdest almayı ve namaz kılmayı gösteren kısa bir video hazırlanır.
Abdest ve gusül abdest arasındaki farkları içeren etkileşimli içerik hazırlanır.";;
11;9;Din Kültürü ve Ahlak Bilgisi 9;3. İSLAM’DA İBADETLER;DKAB.9.3.3. İnsan ve ibadet ilişkisini yorumlayabilme;Video/Etkileşimli İçerik;İbadetlerin insanı Allah’a (cc) yakınlaştırması, güzel ahlaka yönlendirmesi, insanda yardımlaşma duygusunu, sabır ve disiplini geliştirmesini vurgulayan video veya etkileşimli içerik hazırlanır.;;
12;9;Din Kültürü ve Ahlak Bilgisi 9;3. İSLAM’DA İBADETLER;DKAB.9.3.4. Bakara suresi 21, Zariyat suresi 56 ve Hicr suresi 99. ayetlerin mesajlarını özetleyebilme;Video/Etkileşimli İçerik;Bakara suresi 21. ayeti ve bu ayetin mealini içeren video veya etkileşimli içerik hazırlanır.;;
13;9;Din Kültürü ve Ahlak Bilgisi 9;3. İSLAM’DA İBADETLER;DKAB.9.3.4. Bakara suresi 21, Zariyat suresi 56 ve Hicr suresi 99. ayetlerin mesajlarını özetleyebilme;Video/Etkileşimli İçerik;Zariyat suresi 56. ayeti ve bu ayetin mealini içeren video veya etkileşimli içerik hazırlanır.;;
14;9;Din Kültürü ve Ahlak Bilgisi 9;3. İSLAM’DA İBADETLER;DKAB.9.3.4. Bakara suresi 21, Zariyat suresi 56 ve Hicr suresi 99. ayetlerin mesajlarını özetleyebilme;Video/Etkileşimli İçerik;Hicr suresi 99. ayeti ve bu ayetin mealini içeren video veya etkileşimli içerik hazırlanır.;;
15;9;Din Kültürü ve Ahlak Bilgisi 9;4. İSLAM’DA AHLAK İLKELERİ;DKAB.9.4.2. Ahlakın temel unsurlarını sentezleyebilme;Etkileşimli İçerik;Ahlakın temel unsurları olan adalet, şecaat, iffet ve hikmet ile ilgili etkileşimli bilgi kartları hazırlanır.;;
16;9;Din Kültürü ve Ahlak Bilgisi 9;4. İSLAM’DA AHLAK İLKELERİ;DKAB.9.4.3. Ahlaki tutum ve davranışlarla ilgili eleştirel düşünebilme;Video/Etkileşimli İçerik;"Sınavda kopya çekme veya çekmeme ya da zor durumda kalan bir arkadaşına yardım etme veya etmeme gibi dürüstlük, yardımseverlik, sabır konularında ikilemlerde kalınan ve alınan kararların olumlu ve olumsuz sonuçlarını gösteren video hazırlanır.
Ahlaki tutum ve davranışlardan dürüstlük, yardımseverlik, sabır konularını ayet ve hadisler bağlamında ele alan video veya etkileşimli içerik hazırlanır.";;
17;9;Din Kültürü ve Ahlak Bilgisi 9;4. İSLAM’DA AHLAK İLKELERİ;DKAB.9.4.4. İsra suresi 23-29. ayetlerdeki mesajları özetleyebilme;Video/Etkileşimli İçerik;İsra suresi 23-29.ayetleri ve bu ayetlerin mealini içeren video veya etkileşimli içerik hazırlanır.;;
18;9;Din Kültürü ve Ahlak Bilgisi 9;5. KUR’AN’A GÖRE HZ. MUHAMMED;DKAB.9.5.1. Hz. Muhammed’in (sav) beşerî ve peygamberlik yönünü özetleyebilme;Video/Etkileşimli İçerik;"Hz. Muhammed’e (sav) peygamberlik görevi verilmeden önceki dönemi coğrafi, sosyo-kültürel, ekonomik ve dinî açılardan anlatan belgesel veya film hazırlanır.
Hz. Muhammed’in (sav) tebliğ, tebyin, teşri, temsil görevleri ile ilgili etkileşimli içerik hazırlanır.";;
19;9;Din Kültürü ve Ahlak Bilgisi 9;5. KUR’AN’A GÖRE HZ. MUHAMMED;DKAB.9.5.2. Hz. Muhammed’in (sav) örnekliğini esas alarak kendi bakış açısını yapılandırabilme;Video/Etkileşimli İçerik;Hz. Muhammed’in (sav) gençlerle olan iletişiminde onlarla olan dostluğuna ve dayanışmasına dair örnekler içeren video veya etkileşimli video hazırlanır.;;
20;9;Din Kültürü ve Ahlak Bilgisi 9;5. KUR’AN’A GÖRE HZ. MUHAMMED;DKAB.9.5.3. Kültürümüzde Hz. Muhammed (sav) ve Ehlibeyt sevgisini yorumlayabilme;Ses/Video;Kültürümüzde yer alan Hz. Peygamber ve Ehlibeyt sevgisi ile ilgili şiir, naat, mevlit gibi eserlerden örnek video/ses hazırlanır.;;
21;9;Din Kültürü ve Ahlak Bilgisi 9;5. KUR’AN’A GÖRE HZ. MUHAMMED;"DKAB.9.5.4. Ahzab suresinin 45-46 ve Nahl suresinin 43-
44. ayetlerindeki mesajları özetleyebilme";Etkileşimli İçerik;Ahzab suresi 45-46. ayetlerinde verilen mesajlarla ilgili etkileşimli içerik hazırlanır.;;
22;9;Din Kültürü ve Ahlak Bilgisi 9;5. KUR’AN’A GÖRE HZ. MUHAMMED;"DKAB.9.5.4. Ahzab suresinin 45-46 ve Nahl suresinin 43-
44. ayetlerindeki mesajları özetleyebilme";Etkileşimli İçerik;Nahl suresinin 43-44. ayetlerinde verilen mesajlarla ilgili etkileşimli içerik hazırlanır.;;
1;10;Felsefe 10;1. FELSEFENİN DOĞASI;FEL.10.1.1. Felsefenin anlamını ve gelişim sürecini sorgulayabilme.;Video/Etkileşimli İçerik;"Felsefenin anlamı ve gelişim sürecine yönelik video hazırlanır.
Filozoflara ait felsefe tanımları ve felsefi düşüncenin gelişimi ve temel özellikleriyle ilgili dünya haritası üzerinde uygulanabilecek etkileşimli içerik hazırlanır.
Farklı medeniyetlerde felsefeye katkı sağlayan yakın tarihimizde de yaşayan kadın düşünür ve filozoflar konulu video hazırlanır.
Dünya sorunları ve filozofların görüşleri konulu video hazırlanır.";;
2;10;Felsefe 10;2. FELSEFE, MANTIK VE ARGÜMANTASYON;FEL.10.2.1. Mantık ve argümantasyonda kullanılan temel kavramları yorumlayabilme;Video/Etkileşimli İçerik;"Düşünme ve dil ilişkisi- akıl ilkeleri ile ilgili etkileşimli içerik hazırlanır.
Önerme, akıl yürütme ve safsata türleri ile ilgili içerik hazırlanır.";;
3;10;Felsefe 10;3. VARLIK FELSEFESİ;FEL.10.3.1. Varlık felsefesinin konusunu, kavramlarını ve problemlerini muhakeme edebilme;Video/Etkileşimli İçerik;"Varlık felsefesinin konusu,temel problemleri ve kavramlarına yönelik içerik hazırlanır. Varlığın ne olduğu problemi ile ilgili etkileşimli içerik hazırlanır.
Varlık hakkında düşünmelerini sağlayacak film kesiti hazırlanır.";;
4;10;Felsefe 10;4. BİLGİ FELSEFESİ;FEL.10.4.1. Bilgi felsefesinin konusunu, kavramlarını ve problemlerini muhakeme edebilme;Video/Etkileşimli İçerik;"Bilgi felsefesinin konusu,temel problemleri ve kavramlarına yönelik içerik hazırlanır.
Descartes'in ""Rüya Argümanı"" hakkında bir video hazırlanır.";;
5;10;Felsefe 10;5. AHLAK FELSEFESİ;FEL.10.5.1. Ahlak felsefesinin konusunu, kavramlarını ve problemlerini muhakeme edebilme;Video/Etkileşimli İçerik;"Ahlak felsefesinin konusu,temel problemleri ve kavramlarına yönelik içerik hazırlanır.
Özgürlük ve sorumluluk temalı şiir, roman, hikâye metinleri veya belgesel, film kesitleri düzenlenir.";;
6;10;Felsefe 10;6. ESTETİK VE SANAT FELSEFESİ;FEL.10.6.1. Estetik ve sanat felsefesinin konusunu, kavramlarını ve problemlerini muhakeme edebilme;Video/Etkileşimli İçerik;"Sanat felsefesinin konusu,temel problemleri ve kavramlarına yönelik içerik hazırlanır.
Estetik ve sanat felsefesinin temel kavramları ile ilgili eşleştirme, bulmaca hazırlanır. Sanat türleri ve sanat kuramları ile ilgili video hazırlanır.";;
7;10;Felsefe 10;7. SİYASET FELSEFESİ;FEL.10.7.1. Siyaset felsefesinin konusunu, kavramlarını ve problemlerini muhakeme edebilme;Video/Etkileşimli İçerik;"Siyaset felsefesinin problemlerine yönelik ''bilge(filozof) kral'' videosu hazırlanır.
Devletin kökeni, iktidarın kaynağı ve meşruiyet problemleri, bu problemlere ilişkin görüş ve argümanları içeren sürükle bırak etkinliği hazırlanır.
Öğrencilerin siyaset felsefesi üzerine argümanlar geliştirebileceği, bu argümanları analiz edebileceği bir etkileşimli içerik hazırlanır.";;
8;10;Felsefe 10;8. DİN FELSEFESİ;FEL.10.8.1. Din felsefesinin konusunu, kavramlarını ve problemlerini muhakeme edebilme;Video/Etkileşimli İçerik;"Din felsefesinin konusunu anlamaya yönelik ''inancın serüveni'' adlı belgeselden video hazırlanır.
Din felsefesinin kavramlarına ve Tanrının varlığına ilişkin görüşleri içeren sürükle bırak, eşleştirme hazırlanır.";;
9;10;Felsefe 10;9. BİLİM FELSEFESİ;FEL.10.9.1. Bilim felsefesinin konusunu, kavramlarını ve problemlerini muhakeme edebilme;Video/Etkileşimli İçerik;"Bilim felsefesinin konusuna yönelik, İbnülheysem'in karanlık oda deneyi video olarak hazırlanır. Bilmin ne olduğuna yönelik görüşleri anlamaya yönelik sürükle bırak hazırlanır.
Bilimin yöntem problemine yönelik simülasyon hazırlanır.";;
1;11;Felsefe 11;1. ÇEVRE SORUNLARI VE FELSEFE;FEL.11.1.1. Çevre ile ilgili felsefi soru ve problemleri anlayabilme;Video/Etkileşimli İçerik;"Ülkemizde ve dünyada yaşanan çevre sorunları ve bu sorunların toplumlarda oluşturduğu hasarlara yönelik video hazırlanır.
Ülkemizde çevre sorunlarının çözümüne yönelik geliştirilmiş projelerle ilgili video hazırlanır.
Öğrencilerin çevre sorunlarını felsefi bir bakış açısıyla değerlendirebileceği etkileşimli bir soru-cevap uygulaması veya kavram haritası hazırlanır.";;
2;11;Felsefe 11;1. ÇEVRE SORUNLARI VE FELSEFE;FEL.11.1.2. Çevre sorunlarıyla ilgili felsefi düşünce ortaya koyabilme;Video/Etkileşimli İçerik;"Çevre sorunlarıyla ilgili kurum ve kuruluşların tanıtıldığı video hazırlanır.
Çevre sorunlarına farklı felsefi yaklaşımları (antroposantrizm, biyosantrizm, ekosantrizm) ele alan ve öğrencilerin kendi felsefi görüşlerini oluşturmalarını sağlayan bir video hazırlanır.
Mimar Sinan'ın eserlerinden özellikle sürdürülebilirlik vasfı taşıyan eserlerinin tanıtıldığı bir video hazırlanır.
Öğrencilerin çevre sorunlarına çözüm önerileri geliştirebileceği ve fikirlerini savunabileceği etkileşimli bir oyun veya simülasyon hazırlanır.";;
